,Sentiment,Score
2630,Negative,0.0
2631,Negative,0.203
2632,Positive,0.179
2633,Negative,0.0
2634,Negative,0.108
2635,Positive,0.133
2636,Negative,0.289
2637,Negative,0.231
2638,Positive,0.116
2639,Positive,0.541
2640,Negative,0.15
2641,Negative,0.207
2642,Negative,0.18
2643,Positive,0.307
2644,Positive,0.114
2645,Negative,0.362
2646,Positive,0.221
2647,Positive,0.126
2648,Positive,0.176
2649,Negative,0.099
2650,Negative,0.345
2651,Positive,0.11
2652,Positive,0.262
2653,Positive,0.226
2654,Positive,0.213
2655,Positive,0.296
2656,Positive,0.237
2657,Positive,0.427
2658,Negative,0.185
2659,Negative,0.24
2660,Negative,0.0
2661,Negative,0.102
2662,Negative,0.279
2663,Negative,0.0
2664,Positive,0.237
2665,Positive,0.181
2666,Negative,0.271
2667,Positive,0.223
2668,Positive,0.28
2669,Negative,0.114
2670,Negative,0.0
2671,Negative,0.203
2672,Positive,0.514
2673,Negative,0.535
2674,Negative,0.0
2675,Positive,0.31
2676,Positive,0.268
2677,Negative,0.0
2678,Positive,0.33
2679,Positive,0.157
2680,Negative,0.5
2681,Negative,0.415
2682,Positive,0.263
2683,Positive,0.135
2684,Positive,0.31
2685,Positive,0.118
2686,Negative,0.706
2687,Positive,0.109
2688,Negative,0.216
2689,Negative,0.112
2690,Positive,0.506
2691,Positive,0.193
2692,Positive,0.25
2693,Negative,0.153
2694,Negative,0.095
2695,Negative,0.743
2696,Negative,0.242
2697,Negative,0.144
2698,Positive,0.64
2699,Positive,0.167
2700,Positive,0.143
2701,Positive,0.16
2702,Positive,0.135
2703,Positive,0.102
2704,Negative,0.286
2705,Positive,0.107
2706,Positive,0.5
2707,Positive,0.412
2708,Positive,0.217
2709,Positive,0.231
2710,Negative,0.0
2711,Negative,0.147
2712,Positive,0.11
2713,Negative,0.161
2714,Positive,0.222
2715,Positive,0.444
2716,Negative,0.449
2717,Positive,0.279
2718,Positive,0.592
2719,Negative,0.08
2720,Negative,0.14
2721,Positive,0.212
2722,Positive,0.085
2723,Negative,0.124
2724,Negative,0.114
2725,Negative,0.0
2726,Positive,0.189
2727,Positive,0.196
2728,Positive,0.266
2729,Positive,0.203
2730,Negative,0.072
2731,Negative,0.388
2732,Positive,0.262
2733,Positive,0.192
2734,Positive,0.225
2735,Positive,0.225
2736,Positive,0.204
2737,Negative,0.117
2738,Positive,0.236
2739,Positive,0.455
2740,Negative,0.455
2741,Positive,0.516
2742,Positive,0.159
2743,Negative,0.228
2744,Negative,0.187
2745,Negative,0.335
2746,Negative,0.159
2747,Negative,0.184
2748,Negative,0.096
2749,Positive,0.276
2750,Positive,0.231
2751,Positive,0.189
2752,Negative,0.0
2753,Negative,0.133
2754,Negative,0.221
2755,Positive,0.468
2756,Positive,0.08
2757,Positive,0.497
2758,Positive,0.385
2759,Positive,0.242
2760,Negative,0.102
2761,Negative,0.19
2762,Positive,0.146
2763,Negative,0.182
2764,Positive,0.13
2765,Positive,0.228
2766,Negative,0.194
2767,Positive,0.19
2768,Positive,0.145
2769,Negative,0.0
2770,Positive,0.274
2771,Positive,0.184
2772,Positive,0.145
2773,Negative,0.17
2774,Positive,0.238
2775,Positive,0.234
2776,Positive,0.182
2777,Positive,0.231
2778,Positive,0.444
2779,Negative,0.136
2780,Negative,0.107
2781,Negative,0.185
2782,Positive,0.143
2783,Positive,0.161
2784,Negative,0.137
2785,Positive,0.38
2786,Negative,0.186
2787,Negative,0.137
2788,Negative,0.167
2789,Positive,0.049
2790,Negative,0.505
2791,Negative,0.18
2792,Positive,0.167
2793,Positive,0.216
2794,Positive,0.292
2795,Positive,0.431
2796,Negative,0.094
2797,Positive,0.222
2798,Positive,0.226
2799,Positive,0.392
2800,Positive,0.397
2801,Positive,0.555
2802,Positive,0.217
2803,Positive,0.128
2804,Negative,0.128
2805,Positive,0.444
2806,Negative,0.291
2807,Positive,0.223
2808,Positive,0.189
2809,Positive,0.221
2810,Negative,0.238
2811,Positive,0.545
2812,Positive,0.38
2813,Positive,0.153
2814,Negative,0.0
2815,Negative,0.199
2816,Positive,0.169
2817,Negative,0.212
2818,Positive,0.167
2819,Negative,0.0
2820,Negative,0.0
2821,Negative,0.16
2822,Negative,0.426
2823,Negative,0.236
2824,Negative,0.263
2825,Positive,0.254
2826,Negative,0.394
2827,Positive,0.094
2828,Negative,0.0
2829,Negative,0.322
2830,Negative,0.0
2831,Negative,0.0
2832,Negative,0.097
2833,Positive,0.262
2834,Negative,0.172
2835,Negative,0.234
2836,Negative,0.313
2837,Positive,0.127
2838,Negative,0.071
2839,Negative,0.217
2840,Negative,0.377
2841,Negative,0.0
2842,Negative,0.141
2843,Negative,0.2
2844,Positive,0.331
2845,Negative,0.0
2846,Negative,0.0
2847,Positive,0.219
2848,Negative,0.297
2849,Negative,0.182
2850,Positive,0.351
2851,Negative,0.41
2852,Negative,0.311
2853,Positive,0.118
2854,Positive,0.35
2855,Negative,0.277
2856,Negative,0.212
2857,Positive,0.655
2858,Negative,0.248
2859,Positive,0.146
2860,Positive,0.158
2861,Positive,0.244
2862,Negative,0.0
2863,Positive,0.495
2864,Positive,0.426
2865,Positive,0.302
2866,Positive,0.283
2867,Negative,0.319
2868,Positive,0.259
2869,Positive,0.335
2870,Positive,0.506
2871,Positive,0.294
2872,Positive,0.348
2873,Negative,0.0
2874,Positive,0.27
2875,Negative,0.0
2876,Positive,0.196
2877,Positive,0.236
2878,Positive,0.204
2879,Negative,0.273
2880,Negative,0.0
2881,Negative,0.204
2882,Negative,0.512
2883,Negative,0.208
2884,Negative,0.0
2885,Positive,0.135
2886,Negative,0.0
2887,Positive,0.405
2888,Negative,0.437
2889,Negative,0.0
2890,Negative,0.078
2891,Positive,0.195
2892,Positive,0.227
2893,Positive,0.311
2894,Positive,0.223
2895,Negative,0.374
2896,Positive,0.224
2897,Negative,0.0
2898,Negative,0.23
2899,Positive,0.233
2900,Negative,0.23
2901,Positive,0.193
2902,Negative,0.0
2903,Negative,0.125
2904,Positive,0.787
2905,Negative,0.14
2906,Negative,0.374
2907,Positive,0.617
2908,Positive,0.403
2909,Negative,0.441
2910,Positive,0.163
2911,Negative,0.0
2912,Positive,0.489
2913,Negative,0.156
2914,Positive,0.222
2915,Negative,0.175
2916,Negative,0.0
2917,Negative,0.126
2918,Negative,0.0
2919,Negative,0.231
2920,Positive,0.365
2921,Positive,0.474
2922,Positive,0.231
2923,Positive,0.46
2924,Negative,0.0
2925,Positive,0.168
2926,Positive,0.203
2927,Positive,0.447
2928,Negative,0.0
2929,Positive,0.273
2930,Positive,0.187
2931,Positive,0.17
2932,Negative,0.0
2933,Positive,0.177
2934,Positive,0.233
2935,Positive,0.265
2936,Positive,0.255
2937,Positive,0.266
2938,Positive,0.403
2939,Positive,0.306
2940,Positive,0.225
2941,Positive,0.113
2942,Positive,0.441
2943,Negative,0.326
2944,Negative,0.0
2945,Positive,0.313
2946,Positive,0.149
2947,Positive,0.381
2948,Positive,0.202
2949,Negative,0.213
2950,Positive,0.51
2951,Positive,0.289
2952,Negative,0.0
2953,Negative,0.0
2954,Positive,0.362
2955,Positive,0.247
2956,Positive,0.541
2957,Positive,0.127
2958,Positive,0.209
2959,Positive,0.359
2960,Positive,0.286
2961,Positive,0.293
2962,Negative,0.362
2963,Positive,0.181
2964,Negative,0.242
2965,Positive,0.172
2966,Positive,0.283
2967,Positive,0.441
2968,Negative,0.169
2969,Negative,0.239
2970,Positive,0.326
2971,Positive,0.127
2972,Negative,0.119
2973,Positive,0.336
2974,Negative,0.288
2975,Negative,0.144
2976,Positive,0.188
2977,Positive,0.436
2978,Positive,0.113
2979,Negative,0.196
2980,Positive,0.172
2981,Negative,0.0
2982,Positive,0.301
2983,Positive,0.177
2984,Positive,0.648
2985,Positive,0.211
2986,Positive,0.224
2987,Negative,0.262
2988,Positive,0.209
2989,Positive,0.2
2990,Positive,0.103
2991,Negative,0.0
2992,Positive,0.492
2993,Negative,0.0
2994,Positive,0.361
2995,Negative,0.163
2996,Negative,0.167
2997,Positive,0.331
2998,Negative,0.136
2999,Negative,0.191
3000,Negative,0.279
3001,Negative,0.0
3002,Positive,0.13
3003,Positive,0.257
3004,Positive,0.452
3005,Positive,0.333
3006,Positive,0.476
3007,Negative,0.302
3008,Negative,0.241
3009,Positive,0.283
3010,Positive,0.149
3011,Negative,0.0
3012,Positive,0.105
3013,Negative,0.0
3014,Positive,0.246
3015,Positive,0.401
3016,Positive,0.366
3017,Negative,0.183
3018,Positive,0.333
3019,Positive,0.314
3020,Positive,0.279
3021,Positive,0.411
3022,Positive,0.113
3023,Positive,0.161
3024,Positive,0.252
3025,Positive,0.285
3026,Negative,0.0
3027,Negative,0.0
3028,Positive,0.765
3029,Positive,0.294
3030,Positive,0.305
3031,Positive,0.19
3032,Positive,0.225
3033,Positive,0.487
3034,Positive,0.203
3035,Negative,0.117
3036,Positive,0.355
3037,Positive,0.124
3038,Positive,0.084
3039,Negative,0.0
3040,Negative,0.19
3041,Positive,0.648
3042,Positive,0.198
3043,Positive,0.181
3044,Negative,0.0
3045,Positive,0.247
3046,Positive,0.375
3047,Positive,0.33
3048,Negative,0.116
3049,Negative,0.146
3050,Negative,0.346
3051,Negative,0.194
3052,Negative,0.164
3053,Negative,0.0
3054,Positive,0.386
3055,Positive,0.421
3056,Negative,0.312
3057,Negative,0.08
3058,Positive,0.084
3059,Positive,0.209
3060,Negative,0.109
3061,Positive,0.423
3062,Positive,0.287
3063,Negative,0.122
3064,Positive,0.317
3065,Negative,0.208
3066,Negative,0.0
3067,Negative,0.227
3068,Negative,0.425
3069,Negative,0.238
3070,Negative,0.31
3071,Positive,0.463
3072,Positive,0.209
3073,Negative,0.429
3074,Negative,0.0
3075,Positive,0.203
3076,Positive,0.265
3077,Positive,0.104
3078,Negative,0.259
3079,Positive,0.449
3080,Positive,0.256
3081,Positive,0.212
3082,Positive,0.248
3083,Positive,0.465
3084,Negative,0.141
3085,Positive,0.28
3086,Negative,0.211
3087,Positive,0.185
3088,Positive,0.273
3089,Positive,0.142
3090,Positive,0.448
3091,Positive,0.279
3092,Negative,0.381
3093,Negative,0.186
3094,Positive,0.335
3095,Negative,0.139
3096,Positive,0.38
3097,Positive,0.19
3098,Negative,0.0
3099,Positive,0.184
3100,Positive,0.237
3101,Negative,0.0
3102,Positive,0.375
3103,Negative,0.0
3104,Positive,0.164
3105,Negative,0.0
3106,Negative,0.0
3107,Positive,0.097
3108,Negative,0.0
3109,Negative,0.333
3110,Negative,0.42
3111,Positive,0.464
3112,Positive,0.525
3113,Negative,0.405
3114,Positive,0.238
3115,Negative,0.0
3116,Positive,0.163
3117,Positive,0.241
3118,Positive,0.565
3119,Positive,0.083
3120,Negative,0.259
3121,Negative,0.0
3122,Negative,0.198
3123,Negative,0.256
3124,Positive,0.493
3125,Positive,0.261
3126,Negative,0.0
3127,Positive,0.359
3128,Positive,0.186
3129,Positive,0.182
3130,Negative,0.087
3131,Negative,0.049
3132,Positive,0.537
3133,Negative,0.261
3134,Positive,0.186
3135,Positive,0.412
3136,Positive,0.36
3137,Positive,0.303
3138,Positive,0.308
3139,Positive,0.211
3140,Positive,0.303
3141,Positive,0.203
3142,Negative,0.054
3143,Negative,0.117
3144,Positive,0.38
3145,Negative,0.157
3146,Negative,0.097
3147,Negative,0.154
3148,Negative,0.0
3149,Negative,0.28
3150,Negative,0.213
3151,Negative,0.151
3152,Positive,0.132
3153,Negative,0.196
3154,Negative,0.0
3155,Positive,0.344
3156,Positive,0.172
3157,Negative,0.343
3158,Positive,0.438
3159,Negative,0.0
3160,Positive,0.121
3161,Positive,0.497
3162,Positive,0.467
3163,Negative,0.214
3164,Positive,0.347
3165,Negative,0.297
3166,Negative,0.0
3167,Positive,0.126
3168,Negative,0.303
3169,Positive,0.074
3170,Positive,0.207
3171,Positive,0.094
3172,Negative,0.08
3173,Positive,0.219
3174,Positive,0.273
3175,Negative,0.0
3176,Positive,0.181
3177,Negative,0.0
3178,Negative,0.168
3179,Negative,0.188
3180,Negative,0.0
3181,Positive,0.141
3182,Negative,0.202
3183,Positive,0.16
3184,Positive,0.365
3185,Positive,0.606
3186,Positive,0.354
3187,Negative,0.13
3188,Positive,0.315
3189,Negative,0.0
3190,Negative,0.0
3191,Positive,0.225
3192,Positive,0.33
3193,Positive,0.346
3194,Negative,0.0
3195,Negative,0.214
3196,Positive,0.454
3197,Negative,0.2
3198,Positive,0.235
3199,Positive,0.407
3200,Positive,0.399
3201,Positive,0.407
3202,Negative,0.223
3203,Negative,0.0
3204,Positive,0.355
3205,Negative,0.209
3206,Positive,0.372
3207,Negative,0.0
3208,Negative,0.228
3209,Positive,0.374
3210,Positive,0.365
3211,Positive,0.197
3212,Negative,0.097
3213,Positive,0.137
3214,Negative,0.155
3215,Positive,0.372
3216,Positive,0.241
3217,Positive,0.39
3218,Positive,0.464
3219,Negative,0.0
3220,Positive,0.382
3221,Negative,0.0
3222,Negative,0.162
3223,Positive,0.288
3224,Negative,0.444
3225,Positive,0.131
3226,Negative,0.233
3227,Negative,0.0
3228,Positive,0.39
3229,Negative,0.429
3230,Positive,0.574
3231,Negative,0.0
3232,Positive,0.265
3233,Positive,0.421
3234,Positive,0.214
3235,Positive,0.084
3236,Positive,0.699
3237,Negative,0.143
3238,Positive,0.436
3239,Positive,0.137
3240,Positive,0.431
3241,Negative,0.0
3242,Negative,0.0
3243,Negative,0.214
3244,Positive,0.083
3245,Positive,0.363
3246,Positive,0.31
3247,Negative,0.27
3248,Positive,0.143
3249,Positive,0.504
3250,Positive,0.268
3251,Positive,0.512
3252,Negative,0.515
3253,Negative,0.0
3254,Negative,0.0
3255,Positive,0.345
3256,Positive,0.367
3257,Positive,0.212
3258,Positive,0.348
3259,Positive,0.192
3260,Positive,0.299
3261,Positive,0.382
3262,Positive,0.265
3263,Negative,0.0
3264,Positive,0.158
3265,Negative,0.398
3266,Positive,0.116
3267,Positive,0.084
3268,Negative,0.0
3269,Negative,0.19
3270,Negative,0.269
3271,Positive,0.31
3272,Negative,0.133
3273,Negative,0.454
3274,Positive,0.418
3275,Negative,0.0
3276,Positive,0.252
3277,Positive,0.23
3278,Positive,0.233
3279,Positive,0.172
3280,Negative,0.13
3281,Positive,0.363
3282,Negative,0.241
3283,Positive,0.116
3284,Negative,0.186
3285,Positive,0.214
3286,Negative,0.295
3287,Positive,0.209
3288,Positive,0.361
3289,Negative,0.0
3290,Negative,0.24
3291,Positive,0.466
3292,Positive,0.363
3293,Positive,0.368
3294,Negative,0.255
3295,Negative,0.0
3296,Negative,0.0
3297,Positive,0.193
3298,Positive,0.315
3299,Positive,0.273
3300,Positive,0.337
3301,Negative,0.0
3302,Negative,0.255
3303,Negative,0.0
3304,Negative,0.0
3305,Positive,0.193
3306,Positive,0.204
3307,Positive,0.139
3308,Negative,0.142
3309,Positive,0.385
3310,Positive,0.335
3311,Positive,0.502
3312,Negative,0.0
3313,Negative,0.076
3314,Positive,0.458
3315,Positive,0.224
3316,Positive,0.207
3317,Positive,0.078
3318,Positive,0.152
3319,Positive,0.178
3320,Negative,0.157
3321,Negative,0.255
3322,Positive,0.144
3323,Positive,0.307
3324,Negative,0.119
3325,Positive,0.163
3326,Positive,0.272
3327,Negative,0.35
3328,Positive,0.242
3329,Negative,0.181
3330,Negative,0.0
3331,Negative,0.6
3332,Negative,0.0
3333,Negative,0.195
3334,Negative,0.073
3335,Positive,0.184
3336,Positive,0.511
3337,Negative,0.19
3338,Positive,0.202
3339,Negative,0.55
3340,Positive,0.14
3341,Positive,0.132
3342,Positive,0.25
3343,Positive,0.369
3344,Positive,0.469
3345,Positive,0.258
3346,Negative,0.0
3347,Negative,0.0
3348,Negative,0.0
3349,Negative,0.155
3350,Positive,0.137
3351,Negative,0.322
3352,Positive,0.183
3353,Positive,0.429
3354,Negative,0.0
3355,Negative,0.224
3356,Positive,0.364
3357,Negative,0.09
3358,Negative,0.188
3359,Negative,0.0
3360,Positive,0.545
3361,Negative,0.279
3362,Positive,0.538
3363,Positive,0.808
3364,Positive,0.306
3365,Positive,0.596
3366,Negative,0.0
3367,Negative,0.0
3368,Positive,0.447
3369,Negative,0.136
3370,Positive,0.215
3371,Negative,0.0
3372,Negative,0.115
3373,Positive,0.901
3374,Negative,0.0
3375,Negative,0.0
3376,Negative,0.23
3377,Positive,0.168
3378,Positive,0.101
3379,Negative,0.0
3380,Positive,0.269
3381,Positive,0.486
3382,Positive,0.151
3383,Negative,0.0
3384,Negative,0.287
3385,Positive,0.256
3386,Negative,0.0
3387,Negative,0.0
3388,Negative,0.106
3389,Negative,0.0
3390,Negative,0.0
3391,Positive,0.349
3392,Negative,0.0
3393,Negative,0.223
3394,Positive,0.497
3395,Negative,0.205
3396,Positive,0.349
3397,Positive,0.149
3398,Negative,0.0
3399,Positive,0.492
3400,Negative,0.205
3401,Positive,0.349
3402,Positive,0.149
3403,Negative,0.0
3404,Positive,0.492
3405,Positive,0.331
3406,Positive,0.276
3407,Positive,0.103
3408,Positive,0.357
3409,Negative,0.097
3410,Negative,0.051
3411,Positive,0.253
3412,Positive,0.362
3413,Negative,0.166
3414,Positive,0.381
3415,Negative,0.18
3416,Negative,0.064
3417,Negative,0.0
3418,Negative,0.102
3419,Negative,0.225
3420,Negative,0.0
3421,Positive,0.604
3422,Positive,0.351
3423,Positive,0.438
3424,Positive,0.354
3425,Positive,0.203
3426,Positive,0.288
3427,Positive,0.39
3428,Negative,0.0
3429,Negative,0.0
3430,Positive,0.288
3431,Positive,0.394
3432,Negative,0.306
3433,Negative,0.249
3434,Positive,0.3
3435,Negative,0.289
3436,Positive,0.375
3437,Negative,0.0
3438,Positive,0.196
3439,Positive,0.364
3440,Negative,0.0
3441,Positive,0.333
3442,Positive,0.273
3443,Positive,0.231
3444,Positive,0.767
3445,Positive,0.348
3446,Positive,0.244
3447,Positive,0.097
3448,Negative,0.165
3449,Negative,0.5
3450,Positive,0.264
3451,Positive,0.314
3452,Negative,0.382
3453,Negative,0.0
3454,Negative,0.0
3455,Positive,0.38
3456,Negative,0.286
3457,Positive,0.328
3458,Positive,0.228
3459,Positive,0.199
3460,Positive,0.252
3461,Negative,0.148
3462,Negative,0.0
3463,Negative,0.0
3464,Positive,0.149
3465,Negative,0.125
3466,Negative,0.326
3467,Negative,0.226
3468,Positive,0.231
3469,Negative,0.0
3470,Positive,0.183
3471,Positive,0.227
3472,Negative,0.236
3473,Positive,0.257
3474,Negative,0.0
3475,Positive,0.128
3476,Positive,0.762
3477,Positive,0.444
3478,Positive,0.125
3479,Negative,0.0
3480,Positive,0.344
3481,Negative,0.33
3482,Positive,0.317
3483,Positive,0.415
3484,Positive,0.509
3485,Negative,0.26
3486,Negative,0.286
3487,Positive,0.309
3488,Negative,0.171
3489,Positive,0.259
3490,Positive,0.318
3491,Positive,0.138
3492,Positive,0.313
3493,Negative,0.0
3494,Positive,0.353
3495,Positive,0.219
3496,Positive,0.258
3497,Positive,0.235
3498,Positive,0.444
3499,Positive,0.175
3500,Negative,0.083
3501,Positive,0.375
3502,Positive,0.282
3503,Positive,0.419
3504,Positive,0.242
3505,Positive,0.148
3506,Positive,0.43
3507,Negative,0.0
3508,Positive,0.583
3509,Positive,0.351
3510,Negative,0.0
3511,Negative,0.258
3512,Positive,0.244
3513,Positive,0.24
3514,Positive,0.215
3515,Positive,0.46
3516,Positive,0.533
3517,Negative,0.347
3518,Negative,0.231
3519,Negative,0.0
3520,Positive,0.177
3521,Negative,0.275
3522,Negative,0.227
3523,Positive,0.324
3524,Negative,0.0
3525,Positive,0.322
3526,Negative,0.0
3527,Positive,0.228
3528,Positive,0.247
3529,Positive,0.261
3530,Positive,0.492
3531,Negative,0.321
3532,Positive,0.155
3533,Negative,0.335
3534,Negative,0.214
3535,Positive,0.558
3536,Negative,0.151
3537,Positive,0.262
3538,Positive,0.335
3539,Negative,0.173
3540,Negative,0.158
3541,Positive,0.113
3542,Negative,0.0
3543,Positive,0.259
3544,Positive,0.41
3545,Positive,0.571
3546,Negative,0.0
3547,Negative,0.261
3548,Positive,0.344
3549,Negative,0.337
3550,Positive,0.184
3551,Positive,0.547
3552,Negative,0.108
3553,Negative,0.0
3554,Positive,0.372
3555,Positive,0.19
3556,Negative,0.141
3557,Positive,0.234
3558,Negative,0.326
3559,Negative,0.118
3560,Negative,0.137
3561,Positive,0.474
3562,Positive,0.206
3563,Positive,0.459
3564,Negative,0.192
3565,Negative,0.0
3566,Positive,0.268
3567,Positive,0.416
3568,Positive,0.421
3569,Negative,0.0
3570,Negative,0.0
3571,Positive,0.248
3572,Positive,0.276
3573,Negative,0.197
3574,Positive,0.425
3575,Positive,0.104
3576,Positive,0.26
3577,Positive,0.296
3578,Positive,0.176
3579,Positive,0.149
3580,Positive,0.268
3581,Positive,0.271
3582,Positive,0.253
3583,Positive,0.123
3584,Negative,0.0
3585,Positive,0.384
3586,Positive,0.122
3587,Negative,0.246
3588,Negative,0.0
3589,Negative,0.319
3590,Positive,0.121
3591,Positive,0.268
3592,Negative,0.277
3593,Negative,0.425
3594,Negative,0.0
3595,Positive,0.252
3596,Negative,0.0
3597,Negative,0.253
3598,Positive,0.485
3599,Positive,0.156
3600,Positive,0.132
3601,Negative,0.115
3602,Negative,0.255
3603,Positive,0.324
3604,Positive,0.761
3605,Negative,0.157
3606,Negative,0.228
3607,Positive,0.254
3608,Positive,0.741
3609,Negative,0.434
3610,Positive,0.289
3611,Negative,0.065
3612,Positive,0.639
3613,Positive,0.376
3614,Positive,0.355
3615,Negative,0.0
3616,Negative,0.0
3617,Positive,0.474
3618,Positive,0.35
3619,Negative,0.0
3620,Negative,0.0
3621,Negative,0.22
3622,Negative,0.322
3623,Negative,0.451
3624,Positive,0.076
3625,Negative,0.091
3626,Positive,0.212
3627,Positive,0.208
3628,Positive,0.455
3629,Negative,0.0
3630,Negative,0.0
3631,Positive,0.26
3632,Negative,0.202
3633,Negative,0.119
3634,Positive,0.435
3635,Positive,0.597
3636,Positive,0.569
3637,Negative,0.35
3638,Negative,0.117
3639,Positive,0.403
3640,Positive,0.149
3641,Negative,0.102
3642,Positive,0.233
3643,Positive,0.414
3644,Positive,0.254
3645,Positive,0.533
3646,Negative,0.0
3647,Positive,0.106
3648,Negative,0.0
3649,Negative,0.101
