,Verbs
1441,rebook
1442,walked
1443,closed
1444,including
1445,offered
1446,found
1447,thought
1448,happen
1449,think
1450,make
1451,caused
1452,arriving
1453,closed
1454,said
1455,hold
1456,arriving
1457,running
1458,going
1459,sent
1460,queue
1461,begging
1462,found
1463,told
1464,transferred
1465,given
1466,airport
1467,spent
1468,airport
1469,offered
1470,continues
1471,said
1472,made
1473,told
1474,pointing
1475,said
1476,bags
1477,want
1478,come
1479,stuff
1480,fly
1481,delta
1482,booked
1483,booking
1484,served
1485,run
1486,disagrees
1487,appeared
1488,left
1489,flew
1490,lost
1491,caused
1492,club
1493,tee
1494,took
1495,make
1496,promised
1497,returned
1498,reimburse
1499,contacted
1500,reimburse
1501,return
1502,canceled
1503,notifying
1504,scheduled
1505,contacted
1506,informed
1507,canceled
1508,rebooked
1509,make
1510,use
1511,beware
1512,canceled
1513,went
1514,reach
1515,delayed
1516,prepared
1517,delayed
1518,ended
1519,missing
1520,rebooked
1521,providing
1522,messed
1523,traveling
1524,wait
1525,find
1526,communicate
1527,gave
1528,contacting
1529,involved
1530,tell
1531,went
1532,addressed
1533,contacted
1534,gave
1535,asking
1536,ghosted
1537,holding
1538,welcome
1539,continued
1540,chosen
1541,offered
1542,done
1543,suites
1544,liked
1545,showed
1546,delayed
1547,boarding
1548,delayed
1549,arrived
1550,delayed
1551,find
1552,left
1553,catch
1554,connecting
1555,needed
1556,take
1557,connecting
1558,arrived
1559,discovered
1560,london
1561,disrupted
1562,flying
1563,find
1564,travel
1565,boston
1566,london
1567,resulting
1568,missing
1569,connecting
1570,ended
1571,waiting
1572,advise
1573,avoiding
1574,means
1575,paying
1576,travel
1577,destroyed
1578,delayed
1579,get
1580,attempting
1581,failed
1582,elses
1583,left
1584,seat
1585,rebook
1586,’
1587,received
1588,lost
1589,received
1590,purchase
1591,wedding
1592,picks
1593,appeared
1594,informed
1595,helped
1596,travelling
1597,became
1598,became
1599,find
1600,crew
1601,helped
1602,returned
1603,crew
1604,made
1605,flown
1606,fly
1607,check
1608,working
1609,working
1610,take
1611,checked
1612,checked
1613,missed
1614,run
1615,make
1616,supposed
1617,landed
1618,stuck
1619,missed
1620,connecting
1621,getting
1622,took
1623,meaning
1624,get
1625,missed
1626,put
1627,missed
1628,waited
1629,come
1630,told
1631,missed
1632,go
1633,connecting
1634,known
1635,receive
1636,skipped
1637,went
1638,standing
1639,waited
1640,clerk
1641,came
1642,passing
1643,telling
1644,create
1645,couldnt
1646,rebook
1647,ended
1648,calling
1649,waiting
1650,connected
1651,spoke
1652,said
1653,call
1654,called
1655,said
1656,booked
1657,call
1658,said
1659,call
1660,called
1661,said
1662,get
1663,booked
1664,following
1665,travelling
1666,booked
1667,trying
1668,checked
1669,went
1670,got
1671,care
1672,caused
1673,acted
1674,inconveniencing
1675,sleep
1676,waiting
1677,booked
1678,deal
1679,pay
1680,lhr
1681,crowded
1682,lounge
1683,left
1684,greeted
1685,acknowledged
1686,encountered
1687,offers
1688,legroom
1689,fly
1690,use
1691,travelled
1692,say
1693,ranks
1694,fly
1695,kiss
1696,resolving
1697,used
1698,work
1699,save
1700,expect
1701,makes
1702,happen
1703,started
1704,booked
1705,set
1706,take
1707,buried
1708,listed
1709,got
1710,run
1711,answered
1712,find
1713,resolve
1714,pass
1715,sold
1716,takes
1717,operates
1718,help
1719,’
1720,email
1721,get
1722,primary
1723,get
1724,pick
1725,refund
1726,cheaper
1727,done
1728,paying
1729,connecting
1730,use
1731,helps
1732,heeds
1733,done
1734,check
1735,heathrow
1736,return
1737,booked
1738,arrived
1739,connecting
1740,asked
1741,put
1742,waiting
1743,changed
1744,worked
1745,provided
1746,used
1747,boarding
1748,started
1749,operated
1750,let
1751,remain
1752,focused
1753,counting
1754,trimmed
1755,turned
1756,thought
1757,making
1758,paid
1759,decided
1760,go
1761,paid
1762,went
1763,crowded
1764,decided
1765,stuck
1766,cooked
1767,look
1768,appealing
1769,discovered
1770,waited
1771,boarding
1772,got
1773,blocked
1774,seem
1775,cramped
1776,seating
1777,think
1778,trying
1779,cost
1780,think
1781,paid
1782,fail
1783,crying
1784,go
1785,yakking
1786,galley
1787,heard
1788,made
1789,turned
1790,offering
1791,happened
1792,said
1793,suffering
1794,involves
1795,ba
1796,packed
1797,finding
1798,let
1799,check
1800,online
1801,asked
1802,accept
1803,provided
1804,trying
1805,caused
1806,went
1807,told
1808,given
1809,limited
1810,returning
1811,gives
1812,paid
1813,airport
1814,means
1815,check
1816,queue
1817,makes
1818,server
1819,says
1820,stopped
1821,flying
1822,complaint
1823,routine
1824,tel
1825,wanted
1826,ended
1827,dividing
1828,used
1829,wasted
1830,get
1831,hold
1832,flying
1833,made
1834,ba
1835,adequate
1836,devoted
1837,sleeping
1838,feeding
1839,stranded
1840,offered
1841,help
1842,get
1843,waiting
1844,made
1845,saved
1846,rebooking
1847,going
1848,reviewing
1849,seem
1850,convinced
1851,reduced
1852,offered
1853,make
1854,reneged
1855,sucked
1856,flying
1857,checked
1858,chosen
1859,gate
1860,boarding
1861,trying
1862,checked
1863,issued
1864,centre
1865,limited
1866,going
1867,say
1868,suites
1869,booked
1870,fiancé
1871,timing
1872,called
1873,get
1874,refunded
1875,informed
1876,get
1877,refund
1878,needed
1879,estimated
1880,lose
1881,accepted
1882,got
1883,received
1884,calling
1885,blocked
1886,travel
1887,spent
1888,attend
1889,boeing
1890,getting
1891,narrow
1892,cut
1893,squeezed
1894,means
1895,bump
1896,bulkhead
1897,stand
1898,go
1899,disgusting
1900,fixed
1901,see
1902,appalling
1903,meaning
1904,waiting
1905,pay
1906,seventh
1907,charging
1908,work
